NestID	Cohort	Helpers	Size	Date
62	2009	1	-0.269532354	14/11/2009
62	2009	1	-0.192516594	14/11/2009
63	2009	3	-0.786432573	30/11/2009
64	2009	0	0.503581406	5/01/2010
65	2009	2	1.115770702	17/01/2010
65	2009	2	1.196723246	17/01/2010
66	2009	2	0.173661318	25/11/2009
66	2009	2	0.092708774	25/11/2009
67	2009	1	0.29566839	13/12/2009
67	2009	1	1.008064169	13/12/2009
68	2009	0	0.965212586	8/12/2009
68	2009	0	1.408053206	8/12/2009
69	2009	0	-0.363309274	19/12/2009
69	2009	0	-0.263102788	19/12/2009
70	2009	0	-0.559322078	27/11/2009
70	2009	0	-0.077973577	27/11/2009
71	2009	0	-1.441066533	10/01/2010
72	2009	1	-0.465338425	22/11/2009
72	2009	1	-0.14195823	22/11/2009
73	2009	0	0.326359162	2/12/2009
73	2009	0	0.441882802	2/12/2009
73	2009	0	0.330295946	2/12/2009
74	2009	1	-0.035528914	2/12/2009
75	2009	0	1.385325862	2/01/2010
75	2009	0	1.543294166	2/01/2010
76	2009	1	-0.713353596	25/11/2009
76	2009	1	-0.347528737	25/11/2009
77	2009	1	-0.131798614	8/12/2009
77	2009	1	-0.266576193	8/12/2009
77	2009	1	-0.667435527	8/12/2009
78	2009	0	-2.057192612	6/12/2009
79	2009	0	-1.002162697	14/12/2009
79	2009	0	-0.077973577	14/12/2009
80	2009	0	-0.882702273	21/11/2009
80	2009	0	-0.940464092	21/11/2009
80	2009	0	-1.055987733	21/11/2009
81	2009	0	-0.797869405	27/11/2009
81	2009	0	0.045367171	27/11/2009
81	2009	0	-0.509060305	27/11/2009
82	2009	2	-2.767683605	22/12/2009
82	2009	2	-0.599805494	22/12/2009
83	2009	1	1.165698419	16/12/2009
83	2009	1	1.524040226	16/12/2009
84	2009	1	-0.597829957	29/11/2009
85	2009	1	-0.151052554	29/11/2009
85	2009	1	-0.981559478	29/11/2009
85	2009	1	-0.285830133	29/11/2009
86	2009	1	-0.386036618	8/12/2009
86	2009	1	-0.420607714	8/12/2009
86	2009	1	-0.747924693	8/12/2009
87	2009	1	-0.035528914	27/12/2009
87	2009	1	0.253280187	27/12/2009
88	2009	1	0.576660382	4/12/2009
89	2009	2	0.214772306	4/12/2009
89	2009	2	-0.378626427	4/12/2009
90	2009	1	-1.813114225	24/11/2009
90	2009	1	-1.894066768	24/11/2009
90	2009	1	-2.005653624	24/11/2009
91	2009	0	1.408516585	27/12/2009
91	2009	0	1.504786285	27/12/2009
92	2009	0	-0.058719637	16/01/2010
92	2009	0	0.079994727	16/01/2010
93	2009	1	0.907914146	24/12/2009
94	2009	0	-0.809623296	28/12/2009
94	2009	0	-0.574639233	28/12/2009
95	2009	1	0.50746173	21/11/2009
95	2009	1	-0.046965746	21/11/2009
95	2009	1	0.50746173	21/11/2009
96	2009	1	-0.907515481	11/01/2010
97	2010	2	0.730691901	24/11/2010
97	2010	2	0.907914146	24/11/2010
97	2010	2	1.158215366	24/11/2010
98	2010	1	0.291788066	23/10/2010
98	2010	1	-1.317725785	23/10/2010
99	2010	1	1.115770702	22/10/2010
99	2010	1	1.196723246	22/10/2010
99	2010	1	1.269802221	22/10/2010
100	2010	0	0.321780518	4/11/2010
100	2010	0	0.321780518	4/11/2010
101	2010	1	0.792390507	30/10/2010
101	2010	1	0.884723422	30/10/2010
101	2010	1	1.215977185	30/10/2010
102	2010	0	1.254021686	5/12/2010
102	2010	0	1.604529392	5/12/2010
103	2010	0	0.751279518	28/11/2010
104	2010	0	-1.445003316	5/12/2010
105	2010	0	-1.283561607	18/11/2010
106	2010	0	0.231423138	30/12/2010
106	2010	0	-0.018878082	30/12/2010
107	2010	1	-0.382099833	25/11/2010
107	2010	1	0.518898562	25/11/2010
108	2010	0	0.980993121	25/11/2010
108	2010	0	0.749945842	25/11/2010
108	2010	0	0.884723422	25/11/2010
109	2010	1	0.730691901	30/12/2010
109	2010	1	0.499644622	30/10/2010
109	2010	1	0.503581406	30/10/2010
110	2010	1	-1.768383513	11/12/2010
110	2010	1	-0.940464092	11/12/2010
111	2010	0	1.115770702	21/11/2010
111	2010	0	0.676866866	21/11/2010
112	2010	1	-0.270512978	5/11/2010
112	2010	1	0.407311706	5/11/2010
113	2010	0	0.946422025	5/12/2010
113	2010	0	0.869406265	5/12/2010
114	2010	0	-0.270512978	8/12/2010
114	2010	0	-0.093290733	8/12/2010
115	2010	1	-0.501560257	12/11/2010
115	2010	1	-0.366782678	12/11/2010
116	2010	0	0.037550063	29/11/2010
116	2010	0	0.272534126	29/11/2010
117	2010	0	-1.464257257	4/11/2010
117	2010	0	0.272534126	4/11/2010
118	2010	1	-1.568361059	2/11/2010
118	2010	1	-1.271717857	2/11/2010
119	2010	0	0.846215542	2/11/2010
119	2010	0	0.903977361	2/11/2010
120	2010	1	-1.556590172	13/12/2010
120	2010	1	0.214772306	13/12/2010
121	2010	1	-1.406495436	15/11/2010
121	2010	1	-1.364050772	15/11/2010
122	2010	1	-0.636337838	18/12/2010
122	2010	1	-0.497623474	18/12/2010
123	2010	1	1.870147765	5/11/2010
123	2010	1	1.700799092	5/11/2010
124	2010	1	-0.382563213	7/11/2010
124	2010	1	1.832103265	7/11/2010
124	2010	1	0.853625731	7/11/2010
