"Date","Rain","Temp"
"29/06/1978",5.89,14.3
"30/06/1978",1.42,13.8
"1/07/1978",4.61,12.5
"2/07/1978",3.61,14.5
"3/07/1978",6.24,12.6
"4/07/1978",4.77,11.9
"5/07/1978",0.34,11.7
"6/07/1978",0.27,12.4
"7/07/1978",1.12,12.9
"8/07/1978",3.98,13.5
"9/07/1978",0.4,15.5
"10/07/1978",1.4,14.3
"11/07/1978",0.39,13.7
"12/07/1978",0.55,15.4
"13/07/1978",0,16.3
"14/07/1978",0,16.7
"15/07/1978",0,15.2
"16/07/1978",0,14.5
"17/07/1978",0.11,15.5
"18/07/1978",0.11,15.1
"19/07/1978",0.63,15
"20/07/1978",0.44,13.8
"21/07/1978",0.06,14.8
"22/07/1978",3.57,15.1
"23/07/1978",5.35,15.2
"24/07/1978",0.02,15.8
"25/07/1978",6.16,14.2
"26/07/1978",0.84,16.4
"27/07/1978",5.62,17.7
"28/07/1978",0.01,18.7
"29/07/1978",6.1,17.3
"30/07/1978",6,16.6
"31/07/1978",21.19,15.5
"1/08/1978",4.96,16.4
"2/08/1978",8.34,15.7
"3/08/1978",2.67,15.8
"4/08/1978",2.34,15.7
"5/08/1978",4.42,15.8
"6/08/1978",4.1,14.4
"7/08/1978",4.46,14.9
"8/08/1978",3.99,13.4
"9/08/1978",3.34,14.5
"10/08/1978",0.01,14.4
"11/08/1978",2.12,14.9
"12/08/1978",2.9,15.1
"13/08/1978",1.78,14.9
"14/08/1978",3.58,16.2
"15/08/1978",3.05,16
"16/08/1978",1.15,15.3
"17/08/1978",0,14.2
"18/08/1978",0,15.7
"19/08/1978",1.45,16.7
"20/08/1978",0.34,17
"21/08/1978",1.71,16.5
"22/08/1978",1.59,16.5
"23/08/1978",0,14.2
"24/08/1978",0.01,14.7
"25/08/1978",0,15.3
"26/08/1978",0,14
"27/08/1978",0.01,13.9
"28/08/1978",0.05,15.6
"29/08/1978",1.23,14.3
"30/08/1978",1.13,13.8
"31/08/1978",2.77,10.4
"1/09/1978",0.16,13.2
"2/09/1978",0.17,12.8
"3/09/1978",0.42,13.3
"4/09/1978",0.46,14.2
"5/09/1978",6.46,13.9
"6/09/1978",3.9,15.7
"7/09/1978",0.19,15.8
"8/09/1978",1.97,14.3
"9/09/1978",1.32,16.8
"10/09/1978",3,19
"11/09/1978",0.81,16
"12/09/1978",0.25,14.1
"13/09/1978",6.87,16.7
"14/09/1978",0.14,14.1
"15/09/1978",0.05,14.7
"16/09/1978",0.2,15.4
"17/09/1978",0,14
"18/09/1978",0,11.8
"19/09/1978",0,12.8
"20/09/1978",0.03,12.5
"21/09/1978",0.06,15.1
"22/09/1978",0.04,15.3
"23/09/1978",0.25,15.4
"24/09/1978",1.78,17
"25/09/1978",0.62,14.4
"26/09/1978",2.66,12.1
"27/09/1978",8.31,12.8
"28/09/1978",8.03,12.2
"29/09/1978",4.59,12
"30/09/1978",2.5,9.9
"1/10/1978",0.25,11.8
"2/10/1978",2.37,8.7
"3/10/1978",0.24,10.7
"4/10/1978",0.14,10.6
"5/10/1978",0.01,13
"6/10/1978",0.03,14.6
"7/10/1978",0,12.4
"8/10/1978",0.34,13.8
"9/10/1978",1.3,14.4
"10/10/1978",0.39,15.4
